fpr,tpr,type
0,0,dipper
0,0.004098361,dipper
0,0.024590164,dipper
0.004098361,0.024590164,dipper
0.004098361,0.06147541,dipper
0.004098361,0.069672131,dipper
0.004098361,0.073770492,dipper
0.008196721,0.073770492,dipper
0.008196721,0.086065574,dipper
0.008196721,0.094262295,dipper
0.008196721,0.106557377,dipper
0.012295082,0.106557377,dipper
0.012295082,0.114754098,dipper
0.012295082,0.12295082,dipper
0.016393443,0.12295082,dipper
0.016393443,0.135245902,dipper
0.016393443,0.159836066,dipper
0.016393443,0.168032787,dipper
0.016393443,0.176229508,dipper
0.016393443,0.18852459,dipper
0.016393443,0.196721311,dipper
0.016393443,0.204918033,dipper
0.016393443,0.213114754,dipper
0.016393443,0.217213115,dipper
0.020491803,0.217213115,dipper
0.020491803,0.225409836,dipper
0.024590164,0.225409836,dipper
0.024590164,0.229508197,dipper
0.024590164,0.237704918,dipper
0.024590164,0.245901639,dipper
0.024590164,0.258196721,dipper
0.024590164,0.266393443,dipper
0.024590164,0.274590164,dipper
0.028688525,0.274590164,dipper
0.028688525,0.286885246,dipper
0.028688525,0.290983607,dipper
0.032786885,0.290983607,dipper
0.032786885,0.299180328,dipper
0.036885246,0.307377049,dipper
0.036885246,0.31557377,dipper
0.036885246,0.323770492,dipper
0.045081967,0.323770492,dipper
0.045081967,0.340163934,dipper
0.049180328,0.344262295,dipper
0.049180328,0.360655738,dipper
0.053278689,0.360655738,dipper
0.053278689,0.368852459,dipper
0.053278689,0.37295082,dipper
0.053278689,0.381147541,dipper
0.057377049,0.381147541,dipper
0.057377049,0.393442623,dipper
0.057377049,0.401639344,dipper
0.06557377,0.405737705,dipper
0.069672131,0.409836066,dipper
0.069672131,0.413934426,dipper
0.073770492,0.418032787,dipper
0.073770492,0.422131148,dipper
0.073770492,0.430327869,dipper
0.073770492,0.43442623,dipper
0.086065574,0.43442623,dipper
0.086065574,0.43852459,dipper
0.090163934,0.442622951,dipper
0.094262295,0.442622951,dipper
0.094262295,0.463114754,dipper
0.098360656,0.463114754,dipper
0.098360656,0.475409836,dipper
0.098360656,0.483606557,dipper
